icpnet
2025-04-12 18:29:44.605160, ill_name: ag_i8_ver, acc_TOP1: 8.5800, acc_TOP5: 42.2900, loss_test: 2.316, avg_time: 0.002, avg_FPS:641.798
2025-04-12 18:30:03.755020, ill_name: ag_i10_hor, acc_TOP1: 20.3100, acc_TOP5: 50.5700, loss_test: 2.289, avg_time: 0.002, avg_FPS:645.898
2025-04-12 18:30:22.793126, ill_name: ag_i10_ul, acc_TOP1: 15.3400, acc_TOP5: 49.1400, loss_test: 2.296, avg_time: 0.002, avg_FPS:663.629
2025-04-12 18:30:41.677070, ill_name: ag_i10_ur, acc_TOP1: 15.2000, acc_TOP5: 48.9700, loss_test: 2.300, avg_time: 0.001, avg_FPS:673.785
2025-04-12 18:31:00.435562, ill_name: ag_i10_ver, acc_TOP1: 8.4200, acc_TOP5: 42.1200, loss_test: 2.317, avg_time: 0.001, avg_FPS:674.710
2025-04-12 18:31:19.316362, ill_name: ag_i12_hor, acc_TOP1: 19.3300, acc_TOP5: 51.4600, loss_test: 2.290, avg_time: 0.002, avg_FPS:644.774
2025-04-12 18:31:38.544133, ill_name: ag_i12_ul, acc_TOP1: 17.9600, acc_TOP5: 48.8800, loss_test: 2.296, avg_time: 0.002, avg_FPS:646.129
2025-04-12 18:31:58.196106, ill_name: ag_i12_ur, acc_TOP1: 14.8600, acc_TOP5: 48.9200, loss_test: 2.301, avg_time: 0.002, avg_FPS:655.649
2025-04-12 18:32:17.638335, ill_name: ag_i12_ver, acc_TOP1: 7.5500, acc_TOP5: 43.2600, loss_test: 2.319, avg_time: 0.002, avg_FPS:660.366
2025-04-12 18:32:36.667445, ill_name: ag_i14_hor, acc_TOP1: 13.3200, acc_TOP5: 59.4100, loss_test: 2.279, avg_time: 0.002, avg_FPS:649.041
2025-04-12 18:32:55.514606, ill_name: ag_i14_ul, acc_TOP1: 17.9000, acc_TOP5: 48.7400, loss_test: 2.298, avg_time: 0.002, avg_FPS:642.159
